Model_Num_Topics,Topic_Index,Topic_Terms
14,6,"0.117*""app"" + 0.077*""open"" + 0.020*""notification"" + 0.016*""get"" + 0.015*""sign"" + 0.014*""even"" + 0.014*""bug"" + 0.013*""use"""
14,7,"0.060*""easy"" + 0.058*""use"" + 0.058*""zelle"" + 0.033*""send"" + 0.032*""app"" + 0.023*""terrible"" + 0.022*""money"" + 0.013*""pay_bill"""
14,8,"0.060*""payment"" + 0.052*""pay"" + 0.030*""take"" + 0.027*""credit_card"" + 0.024*""day"" + 0.023*""make"" + 0.022*""make_payment"" + 0.019*""card"""
14,9,"0.159*""update"" + 0.101*""app"" + 0.030*""use"" + 0.025*""new"" + 0.019*""phone"" + 0.014*""need"" + 0.013*""version"" + 0.013*""say"""
14,10,"0.060*""card"" + 0.024*""get"" + 0.023*""bank"" + 0.019*""use"" + 0.017*""money"" + 0.015*""fee"" + 0.014*""pay"" + 0.014*""charge"""
14,11,"0.145*""account"" + 0.043*""bank"" + 0.025*""access"" + 0.022*""get"" + 0.019*""close"" + 0.017*""check"" + 0.017*""deposit"" + 0.015*""transfer"""
14,12,"0.112*""good"" + 0.023*""get"" + 0.022*""slow"" + 0.015*""way"" + 0.014*""app"" + 0.014*""far"" + 0.013*""credit"" + 0.013*""transaction"""
14,13,"0.119*""work"" + 0.083*""app"" + 0.029*""check"" + 0.024*""try"" + 0.022*""deposit"" + 0.021*""time"" + 0.017*""mobile_deposit"" + 0.016*""fix"""
15,0,"0.093*""app"" + 0.027*""transaction"" + 0.024*""balance"" + 0.023*""often"" + 0.021*""show"" + 0.020*""always"" + 0.019*""feature"" + 0.017*""sometimes"""
15,1,"0.058*""app"" + 0.045*""bank"" + 0.025*""use"" + 0.022*""banking"" + 0.021*""find"" + 0.020*""hard"" + 0.019*""difficult"" + 0.019*""get"""
15,2,"0.049*""password"" + 0.030*""time"" + 0.025*""app"" + 0.024*""account"" + 0.024*""change"" + 0.021*""number"" + 0.021*""log"" + 0.017*""say"""
