Model_Num_Topics,Topic_Index,Topic_Terms
12,2,"0.061*""app"" + 0.026*""get"" + 0.017*""use"" + 0.016*""take"" + 0.016*""money"" + 0.015*""even"" + 0.014*""horrible"" + 0.013*""back"""
12,3,"0.039*""account"" + 0.021*""app"" + 0.019*""sync"" + 0.017*""transaction"" + 0.017*""get"" + 0.015*""use"" + 0.015*""one"" + 0.013*""mint"""
12,4,"0.039*""app"" + 0.032*""get"" + 0.027*""use"" + 0.025*""account"" + 0.022*""back"" + 0.021*""advance"" + 0.019*""pay"" + 0.018*""money"""
12,5,"0.051*""app"" + 0.022*""one"" + 0.020*""subscription"" + 0.020*""use"" + 0.015*""pay"" + 0.015*""advance"" + 0.015*""give"" + 0.014*""get"""
12,6,"0.087*""app"" + 0.023*""work"" + 0.022*""great"" + 0.019*""update"" + 0.018*""use"" + 0.017*""try"" + 0.014*""transaction"" + 0.013*""issue"""
12,7,"0.058*""app"" + 0.038*""pay"" + 0.032*""time"" + 0.030*""scam"" + 0.027*""cash_advance"" + 0.027*""use"" + 0.024*""get"" + 0.020*""good"""
12,8,"0.048*""app"" + 0.041*""get"" + 0.033*""never"" + 0.032*""charge"" + 0.028*""advance"" + 0.022*""give"" + 0.022*""money"" + 0.017*""cleo"""
12,9,"0.041*""app"" + 0.033*""want"" + 0.025*""account"" + 0.022*""pay"" + 0.017*""would"" + 0.017*""charge"" + 0.017*""give"" + 0.017*""cleo"""
12,10,"0.056*""app"" + 0.037*""get"" + 0.025*""pay"" + 0.022*""account"" + 0.021*""say"" + 0.021*""time"" + 0.019*""could"" + 0.018*""take"""
12,11,"0.070*""get"" + 0.047*""money"" + 0.042*""advance"" + 0.029*""pay"" + 0.028*""card"" + 0.025*""help"" + 0.018*""try"" + 0.017*""need"""
13,0,"0.043*""get"" + 0.036*""say"" + 0.024*""pay"" + 0.022*""app"" + 0.022*""advance"" + 0.020*""account"" + 0.018*""payment"" + 0.013*""day"""
13,1,"0.038*""get"" + 0.037*""keep"" + 0.026*""try"" + 0.022*""money"" + 0.020*""go"" + 0.018*""cleo"" + 0.016*""advance"" + 0.016*""let"""
13,2,"0.046*""app"" + 0.020*""get"" + 0.016*""try"" + 0.015*""use"" + 0.015*""good"" + 0.014*""even"" + 0.014*""take"" + 0.013*""money"""
13,3,"0.038*""account"" + 0.024*""app"" + 0.021*""like"" + 0.020*""transaction"" + 0.020*""sync"" + 0.018*""one"" + 0.017*""get"" + 0.016*""use"""
13,4,"0.036*""app"" + 0.028*""get"" + 0.024*""advance"" + 0.023*""account"" + 0.022*""take"" + 0.022*""card"" + 0.021*""use"" + 0.019*""say"""
13,5,"0.048*""app"" + 0.023*""subscription"" + 0.023*""issue"" + 0.022*""help"" + 0.017*""one"" + 0.016*""get"" + 0.014*""pay"" + 0.014*""need"""
13,6,"0.085*""app"" + 0.025*""work"" + 0.025*""update"" + 0.022*""great"" + 0.018*""account"" + 0.017*""use"" + 0.017*""mint"" + 0.016*""try"""
13,7,"0.085*""app"" + 0.034*""use"" + 0.033*""scam"" + 0.028*""cash_advance"" + 0.026*""get"" + 0.023*""horrible"" + 0.022*""one"" + 0.022*""time"""
13,8,"0.050*""app"" + 0.031*""get"" + 0.029*""good"" + 0.021*""cleo"" + 0.018*""never"" + 0.017*""say"" + 0.016*""charge"" + 0.016*""use"""
13,9,"0.043*""app"" + 0.036*""account"" + 0.025*""day"" + 0.024*""pay"" + 0.023*""want"" + 0.023*""money"" + 0.023*""would"" + 0.020*""get"""
13,10,"0.051*""app"" + 0.041*""get"" + 0.027*""account"" + 0.027*""time"" + 0.024*""bad"" + 0.022*""say"" + 0.017*""could"" + 0.017*""take"""
13,11,"0.066*""get"" + 0.053*""money"" + 0.037*""advance"" + 0.031*""help"" + 0.030*""card"" + 0.024*""pay"" + 0.024*""try"" + 0.019*""app"""
13,12,"0.058*""pay"" + 0.042*""app"" + 0.036*""advance"" + 0.034*""get"" + 0.030*""charge"" + 0.028*""use"" + 0.026*""fee"" + 0.019*""subscription"""
14,0,"0.045*""get"" + 0.042*""say"" + 0.034*""pay"" + 0.024*""advance"" + 0.023*""app"" + 0.019*""take"" + 0.019*""account"" + 0.018*""payment"""
14,1,"0.039*""keep"" + 0.024*""try"" + 0.022*""money"" + 0.021*""get"" + 0.018*""let"" + 0.016*""suck"" + 0.015*""account"" + 0.015*""cash"""
14,2,"0.058*""app"" + 0.030*""money"" + 0.029*""get"" + 0.026*""horrible"" + 0.020*""take"" + 0.018*""even"" + 0.017*""try"" + 0.017*""make"""
14,3,"0.031*""account"" + 0.031*""get"" + 0.027*""one"" + 0.020*""app"" + 0.018*""sync"" + 0.017*""work"" + 0.016*""need"" + 0.015*""balance"""
14,4,"0.028*""get"" + 0.027*""app"" + 0.024*""account"" + 0.019*""use"" + 0.018*""card"" + 0.018*""customer_service"" + 0.017*""money"" + 0.016*""would"""
14,5,"0.042*""app"" + 0.020*""subscription"" + 0.015*""one"" + 0.015*""change"" + 0.015*""help"" + 0.014*""issue"" + 0.013*""use"" + 0.013*""helpful"""
14,6,"0.085*""app"" + 0.027*""great"" + 0.022*""update"" + 0.021*""work"" + 0.019*""transaction"" + 0.019*""monarch"" + 0.016*""free"" + 0.016*""use"""
14,7,"0.076*""app"" + 0.031*""scam"" + 0.028*""good"" + 0.027*""cleo"" + 0.023*""get"" + 0.021*""sign"" + 0.019*""always"" + 0.019*""time"""
14,8,"0.056*""app"" + 0.029*""get"" + 0.028*""work"" + 0.026*""charge"" + 0.020*""cancel"" + 0.019*""say"" + 0.015*""update"" + 0.015*""use"""
14,9,"0.043*""app"" + 0.039*""account"" + 0.023*""would"" + 0.021*""terrible"" + 0.020*""get"" + 0.019*""money"" + 0.018*""help"" + 0.018*""pay"""
14,10,"0.044*""app"" + 0.037*""account"" + 0.029*""get"" + 0.026*""time"" + 0.019*""support"" + 0.018*""bad"" + 0.018*""say"" + 0.017*""take"""
14,11,"0.069*""get"" + 0.045*""money"" + 0.037*""card"" + 0.031*""advance"" + 0.025*""try"" + 0.025*""pay"" + 0.024*""help"" + 0.020*""app"""
14,12,"0.051*""pay"" + 0.046*""advance"" + 0.043*""get"" + 0.038*""app"" + 0.032*""charge"" + 0.026*""fee"" + 0.020*""money"" + 0.019*""cash_advance"""
14,13,"0.064*""app"" + 0.062*""use"" + 0.041*""pay"" + 0.022*""payment"" + 0.021*""love"" + 0.019*""make"" + 0.018*""get"" + 0.018*""far"""
15,0,"0.049*""get"" + 0.041*""say"" + 0.034*""advance"" + 0.028*""pay"" + 0.023*""app"" + 0.022*""take"" + 0.017*""account"" + 0.016*""payment"""
15,1,"0.038*""get"" + 0.036*""keep"" + 0.030*""money"" + 0.023*""try"" + 0.023*""let"" + 0.017*""charge"" + 0.016*""take"" + 0.016*""go"""
15,2,"0.056*""app"" + 0.030*""get"" + 0.023*""cleo"" + 0.022*""account"" + 0.021*""money"" + 0.017*""take"" + 0.015*""payment"" + 0.015*""make"""
