Review,Date,Stars
Not allowing screenshots is stupid and annoying. there's no reason for it.,2025-05-14,1
Constantly have problems when the app launches. Biometric scan frequently doesn't work or the app just signs me out all the time even with daily use.,2025-05-14,1
"I can only successfully login about 10% of the time. The rest of the time ""service is temporarily unavailable"". Also the app frequently crashes in the middle of check deposit.",2025-05-14,1
always stalls or freezes,2025-05-14,1
please don't bank with them save yourself the headache. a lot of the time it will be unavailable. the pending transactions would take days to clear. overdraft even when you have overdraft protection set up,2025-05-14,1
app must be broken because every single time I go to log in I have to log in twice the first time I'm immediately logged out saying I timed out and need to log back in despite the fact that I literally just logged in this app keeps having problems and this keeps happening no matter how many updates they do,2025-05-14,1
this needs fixed ASAP ! since the update i cant even login without the app freezing. i wven tried unintalling and reinstalling the app. still not working,2025-05-13,1
pesimo banco,2025-05-13,1
"I'm trying to send money by zell to my girl, and now the app is telling me I've never sent money to her before. It seems a little tough to trust. Stopped working when I did an o/s upgrade on my phone. They fixed it finally. I was using the website and that wasn't updated in real time, and that messed me up.",2025-05-13,1
can't get to open,2025-05-13,1
app is awful,2025-05-13,1
"The app crashes when depositing checks, now. Or it takes the picture but signs you out and doesn't deposit anything. Usually this app is fine, though. The latest update just screwed this part up, I guess.",2025-05-13,1
"The biometric authentication on the PNC Mobile app for Android is deeply frustrating. It consistently requires 2-3 login attempts before granting access. I've never had issues with Chase or other apps with biometric auth. Even worse, after three failed attempts, the app un-enrolls me from fingerprint login, forcing a re-enroll. This issue is so aggravating that I'm probably closing my account and switching banks. Please address this critical flaw.",2025-05-13,1
absolutely terrible not use the friendly at all,2025-05-13,1
This app is NO Good....when you log in it takes forever to boot in....thats even if it boots in...everytime you log in it says the app is not responding. I kept trying and trying. it takes 5 minutes to even log in and that is if it does respond. I had to remove app and download again just to use zelle.to send money to my mom I have to keep deleting the app and re-downloading just to use it...,2025-05-12,1
"if I could rate this lower, I would. this app has had issues with 2fa login and/or biometric login for at least a month. texts you the code, copy/paste to app then it logs you out. kicks you out to main login where you have to reenter your credentials then get another code. if you're lucky, it will sign you in the 2nd time. then it asks you if you want to enroll in biometric login (every time despite already setting it up).",2025-05-12,1
